random,rnn,rnn_sb1,rnn_sb2,rnn_sb3,rnn_gb
69.6,69.4,70.8,70.4,69.5,69.6
69.6,69.8,69.8,71.2,70.1,70.2
69.6,68.6,71.6,69.7,70.4,70.8
69.6,69.4,71.5,68.9,70.7,68.6
69.6,70.9,71.6,69.2,69.8,68.8
69.6,69.4,72.2,68.2,71.1,70.7
69.6,69.7,70.6,70.9,71.3,73.5
69.6,70.1,70.8,70.5,71.4,71.1
69.6,69.8,72.5,69.8,69.9,70.9
69.6,68.9,69.4,71.3,70.3,70.4
69.6,70.2,70.7,70.4,70.1,70.7
69.6,68.5,70.7,69.8,69.9,70.6
69.6,70.3,69.7,70.2,72.1,69.9
69.6,69.2,69.4,70.5,70.3,70.2
69.6,69.7,71.3,70.6,70.5,70.0
69.6,71.0,70.4,68.8,70.0,70.1
69.6,69.7,69.8,68.5,69.6,71.5
69.6,70.0,69.9,70.1,72.0,70.3
69.6,70.1,70.3,69.5,69.6,70.6
69.6,67.8,70.9,68.2,70.6,70.9
69.6,70.9,71.5,72.9,71.3,70.3
69.6,69.0,69.1,69.9,71.0,70.9
69.6,71.5,71.4,70.8,70.7,71.3
69.6,68.5,69.1,72.0,69.4,70.4
69.6,70.2,69.0,70.4,70.4,70.9
69.6,71.1,71.3,72.2,70.8,70.8
69.6,69.1,70.8,70.3,69.8,71.6
69.6,70.9,70.1,71.8,68.6,70.2
69.6,70.3,70.0,69.4,71.0,71.7
69.6,70.4,72.2,71.1,72.0,71.1
69.6,68.4,69.8,71.6,71.0,70.6
69.6,69.9,71.3,71.5,70.6,71.0
69.6,70.3,68.8,70.8,71.2,69.7
69.6,68.0,70.6,70.7,70.0,70.7
69.6,71.7,71.0,69.7,70.8,68.2
69.6,70.0,70.2,70.6,70.8,71.9
69.6,70.2,70.7,70.1,70.9,70.8
69.6,68.4,71.4,70.1,71.5,70.3
69.6,69.6,71.9,71.1,70.3,71.0
69.6,70.3,70.6,70.0,71.9,71.2
69.6,69.7,71.6,70.9,70.5,71.4
69.6,69.9,70.4,72.2,69.6,71.3
69.6,70.0,72.8,69.3,71.0,70.9
69.6,69.5,71.5,70.7,71.6,71.7
69.6,69.1,69.0,71.7,71.0,71.8
69.6,71.1,70.9,71.5,72.4,72.1
