random,as1,as2,as4,as5
69.3,69.9,68.95,70.125,71.08
69.3,69.0,68.95,70.125,71.08
69.3,69.2,70.1,70.125,71.08
69.3,69.4,70.1,70.125,71.08
69.3,70.9,69.5,69.8,71.08
69.3,70.7,69.5,69.8,70.14
69.3,71.6,69.15,69.8,70.14
69.3,69.0,69.15,69.8,70.14
69.3,70.5,70.45,70.125,70.14
69.3,70.0,70.45,70.125,70.14
69.3,70.1,71.25,70.125,69.32000000000001
69.3,68.8,71.25,70.125,69.32000000000001
69.3,69.2,70.0,69.675,69.32000000000001
69.3,71.0,70.0,69.675,69.32000000000001
69.3,70.4,69.45,69.675,69.32000000000001
69.3,70.5,69.45,69.675,70.03999999999999
69.3,73.0,70.35,70.075,70.03999999999999
69.3,69.4,70.35,70.075,70.03999999999999
69.3,70.9,70.4,70.075,70.03999999999999
69.3,69.0,70.4,70.075,70.03999999999999
69.3,70.0,69.15,70.625,69.34
69.3,70.5,69.15,70.625,69.34
69.3,70.7,69.5,70.625,69.34
69.3,71.5,69.5,70.625,69.34
69.3,70.3,70.0,69.7,69.34
69.3,68.4,70.0,69.7,69.46000000000001
69.3,70.3,70.45,69.7,69.46000000000001
69.3,69.7,70.45,69.7,69.46000000000001
69.3,69.6,70.35,69.975,69.46000000000001
69.3,69.5,70.35,69.975,69.46000000000001
69.3,70.9,69.05,69.975,69.5
69.3,69.9,69.05,69.975,69.5
69.3,71.1,70.9,69.5,69.5
69.3,70.6,70.9,69.5,69.5
69.3,70.0,69.55,69.5,69.5
69.3,69.8,69.55,69.5,69.7
69.3,70.2,69.5,69.675,69.7
69.3,70.5,69.5,69.675,69.7
69.3,70.5,70.35,69.675,69.7
69.3,70.2,70.35,69.675,69.7
69.3,71.6,69.55,70.325,69.88
69.3,69.8,69.55,70.325,69.88
69.3,70.2,70.85,70.325,69.88
69.3,70.5,70.85,70.325,69.88
69.3,72.5,70.7,69.825,69.88
69.3,70.3,70.7,69.825,69.78
69.3,70.6,69.95,69.825,69.78
69.3,70.1,69.95,69.825,69.78
69.3,70.8,69.35,69.85,69.78
69.3,70.2,69.35,69.85,69.78
69.3,70.4,68.4,69.85,69.96000000000001
69.3,70.1,68.4,69.85,69.96000000000001
69.3,69.3,69.6,69.975,69.96000000000001
