run,tag,step,value
4.0,learned_gb_zstate,0,71.0
4.0,learned_gb_zstate,1,73.0
4.0,learned_gb_zstate,2,78.0
4.0,learned_gb_zstate,3,73.0
4.0,learned_gb_zstate,4,70.0
4.0,learned_gb_zstate,5,76.0
4.0,learned_gb_zstate,6,72.0
4.0,learned_gb_zstate,7,75.0
4.0,learned_gb_zstate,8,73.0
4.0,learned_gb_zstate,9,73.0
4.0,learning_gb_tstate,0,71.0
4.0,learning_gb_tstate,1,77.0
4.0,learning_gb_tstate,2,72.0
4.0,learning_gb_tstate,3,71.0
4.0,learning_gb_tstate,4,70.0
4.0,learning_gb_tstate,5,76.0
4.0,learning_gb_tstate,6,72.0
4.0,learning_gb_tstate,7,75.0
4.0,learning_gb_tstate,8,70.0
4.0,learning_gb_tstate,9,73.0
4.0,random,0,73.0
4.0,random,1,73.0
4.0,random,2,71.0
4.0,random,3,69.0
4.0,random,4,74.0
4.0,random,5,73.0
4.0,random,6,70.0
4.0,random,7,72.0
4.0,random,8,74.0
4.0,random,9,69.0
4.2,learned_gb_zstate,10,81.0
4.2,learned_gb_zstate,11,80.0
4.2,learned_gb_zstate,12,78.0
4.2,learned_gb_zstate,13,79.0
4.2,learned_gb_zstate,14,78.0
4.2,learned_gb_zstate,15,73.0
4.2,learned_gb_zstate,16,80.0
4.2,learned_gb_zstate,17,79.0
4.2,learned_gb_zstate,18,79.0
4.2,learned_gb_zstate,19,77.0
4.2,learning_gb_tstate,10,78.0
4.2,learning_gb_tstate,11,77.0
4.2,learning_gb_tstate,12,78.0
4.2,learning_gb_tstate,13,79.0
4.2,learning_gb_tstate,14,79.0
4.2,learning_gb_tstate,15,73.0
4.2,learning_gb_tstate,16,77.0
4.2,learning_gb_tstate,17,79.0
4.2,learning_gb_tstate,18,77.0
4.2,learning_gb_tstate,19,76.0
4.2,random,10,70.0
4.2,random,11,74.0
4.2,random,12,75.0
4.2,random,13,69.0
4.2,random,14,73.0
4.2,random,15,72.0
4.2,random,16,79.0
4.2,random,17,68.0
4.2,random,18,69.0
4.2,random,19,75.0
4.4,learned_gb_zstate,20,79.0
4.4,learned_gb_zstate,21,82.0
4.4,learned_gb_zstate,22,80.0
4.4,learned_gb_zstate,23,85.0
4.4,learned_gb_zstate,24,85.0
4.4,learned_gb_zstate,25,81.0
4.4,learned_gb_zstate,26,79.0
4.4,learned_gb_zstate,27,75.0
4.4,learned_gb_zstate,28,82.0
4.4,learned_gb_zstate,29,83.0
4.4,learning_gb_tstate,20,85.0
4.4,learning_gb_tstate,21,76.0
4.4,learning_gb_tstate,22,81.0
4.4,learning_gb_tstate,23,80.0
4.4,learning_gb_tstate,24,76.0
4.4,learning_gb_tstate,25,78.0
4.4,learning_gb_tstate,26,79.0
4.4,learning_gb_tstate,27,76.0
4.4,learning_gb_tstate,28,82.0
4.4,learning_gb_tstate,29,84.0
4.4,random,20,76.0
4.4,random,21,76.0
4.4,random,22,76.0
4.4,random,23,78.0
4.4,random,24,72.0
4.4,random,25,77.0
4.4,random,26,82.0
4.4,random,27,77.0
4.4,random,28,78.0
4.4,random,29,71.0
