run,tag,step,value
4.0,learned_gb_zstate,0,75.0
4.0,learned_gb_zstate,1,77.0
4.0,learned_gb_zstate,2,75.0
4.0,learned_gb_zstate,3,73.0
4.0,learned_gb_zstate,4,67.0
4.0,learned_gb_zstate,5,72.0
4.0,learned_gb_zstate,6,72.0
4.0,learned_gb_zstate,7,78.0
4.0,learned_gb_zstate,8,77.0
4.0,learned_gb_zstate,9,73.0
4.0,learning_gb_tstate,0,75.0
4.0,learning_gb_tstate,1,71.0
4.0,learning_gb_tstate,2,75.0
4.0,learning_gb_tstate,3,73.0
4.0,learning_gb_tstate,4,69.0
4.0,learning_gb_tstate,5,72.0
4.0,learning_gb_tstate,6,72.0
4.0,learning_gb_tstate,7,79.0
4.0,learning_gb_tstate,8,75.0
4.0,learning_gb_tstate,9,73.0
4.0,random,0,70.0
4.0,random,1,69.0
4.0,random,2,71.0
4.0,random,3,75.0
4.0,random,4,73.0
4.0,random,5,73.0
4.0,random,6,69.0
4.0,random,7,69.0
4.0,random,8,69.0
4.0,random,9,73.0
4.2,learned_gb_zstate,10,76.0
4.2,learned_gb_zstate,11,75.0
4.2,learned_gb_zstate,12,80.0
4.2,learned_gb_zstate,13,77.0
4.2,learned_gb_zstate,14,77.0
4.2,learned_gb_zstate,15,75.0
4.2,learned_gb_zstate,16,79.0
4.2,learned_gb_zstate,17,81.0
4.2,learned_gb_zstate,18,74.0
4.2,learned_gb_zstate,19,77.0
4.2,learning_gb_tstate,10,76.0
4.2,learning_gb_tstate,11,77.0
4.2,learning_gb_tstate,12,79.0
4.2,learning_gb_tstate,13,79.0
4.2,learning_gb_tstate,14,77.0
4.2,learning_gb_tstate,15,75.0
4.2,learning_gb_tstate,16,77.0
4.2,learning_gb_tstate,17,81.0
4.2,learning_gb_tstate,18,82.0
4.2,learning_gb_tstate,19,77.0
4.2,random,10,71.0
4.2,random,11,74.0
4.2,random,12,76.0
4.2,random,13,74.0
4.2,random,14,70.0
4.2,random,15,64.0
4.2,random,16,72.0
4.2,random,17,73.0
4.2,random,18,78.0
4.2,random,19,74.0
4.4,learned_gb_zstate,20,83.0
4.4,learned_gb_zstate,21,78.0
4.4,learned_gb_zstate,22,85.0
4.4,learned_gb_zstate,23,80.0
4.4,learned_gb_zstate,24,81.0
4.4,learned_gb_zstate,25,88.0
4.4,learned_gb_zstate,26,86.0
4.4,learned_gb_zstate,27,82.0
4.4,learned_gb_zstate,28,85.0
4.4,learned_gb_zstate,29,78.0
4.4,learning_gb_tstate,20,83.0
4.4,learning_gb_tstate,21,77.0
4.4,learning_gb_tstate,22,84.0
4.4,learning_gb_tstate,23,80.0
4.4,learning_gb_tstate,24,81.0
4.4,learning_gb_tstate,25,80.0
4.4,learning_gb_tstate,26,79.0
4.4,learning_gb_tstate,27,78.0
4.4,learning_gb_tstate,28,81.0
4.4,learning_gb_tstate,29,78.0
4.4,random,20,77.0
4.4,random,21,76.0
4.4,random,22,76.0
4.4,random,23,75.0
4.4,random,24,77.0
4.4,random,25,75.0
4.4,random,26,75.0
4.4,random,27,83.0
4.4,random,28,79.0
4.4,random,29,75.0
