run,tag,step,value
2.8,minisat,0,56.0
2.8,minisat,1,56.0
2.8,minisat,2,56.0
2.8,minisat,3,56.0
2.8,minisat,4,56.0
2.8,minisat,5,56.0
2.8,minisat,6,56.0
2.8,minisat,7,56.0
2.8,minisat,8,56.0
2.8,minisat,9,56.0
2.8,random,0,47.0
2.8,random,1,51.0
2.8,random,2,47.0
2.8,random,3,48.0
2.8,random,4,47.0
2.8,random,5,49.0
2.8,random,6,46.0
2.8,random,7,49.0
2.8,random,8,51.0
2.8,random,9,47.0
2.8,rnn,0,46.0
2.8,rnn,1,53.0
2.8,rnn,2,51.0
2.8,rnn,3,55.0
2.8,rnn,4,49.0
2.8,rnn,5,50.0
2.8,rnn,6,52.0
2.8,rnn,7,53.0
2.8,rnn,8,50.0
2.8,rnn,9,48.0
2.8,rnn_gb,0,52.0
2.8,rnn_gb,1,53.0
2.8,rnn_gb,2,53.0
2.8,rnn_gb,3,52.0
2.8,rnn_gb,4,50.0
2.8,rnn_gb,5,52.0
2.8,rnn_gb,6,52.0
2.8,rnn_gb,7,53.0
2.8,rnn_gb,8,53.0
2.8,rnn_gb,9,51.0
2.8,rnn_sb,0,54.0
2.8,rnn_sb,1,53.0
2.8,rnn_sb,2,53.0
2.8,rnn_sb,3,55.0
2.8,rnn_sb,4,51.0
2.8,rnn_sb,5,52.0
2.8,rnn_sb,6,52.0
2.8,rnn_sb,7,53.0
2.8,rnn_sb,8,53.0
2.8,rnn_sb,9,51.0
3.0,minisat,10,60.0
3.0,minisat,11,60.0
3.0,minisat,12,60.0
3.0,minisat,13,60.0
3.0,minisat,14,60.0
3.0,minisat,15,60.0
3.0,minisat,16,60.0
3.0,minisat,17,60.0
3.0,minisat,18,60.0
3.0,minisat,19,60.0
3.0,random,10,53.0
3.0,random,11,56.0
3.0,random,12,51.0
3.0,random,13,51.0
3.0,random,14,49.0
3.0,random,15,55.0
3.0,random,16,51.0
3.0,random,17,56.0
3.0,random,18,55.0
3.0,random,19,50.0
3.0,rnn,10,55.0
3.0,rnn,11,51.0
3.0,rnn,12,52.0
3.0,rnn,13,57.0
3.0,rnn,14,53.0
3.0,rnn,15,55.0
3.0,rnn,16,50.0
3.0,rnn,17,51.0
3.0,rnn,18,49.0
3.0,rnn,19,55.0
3.0,rnn_gb,10,55.0
3.0,rnn_gb,11,56.0
3.0,rnn_gb,12,54.0
3.0,rnn_gb,13,57.0
3.0,rnn_gb,14,56.0
3.0,rnn_gb,15,54.0
3.0,rnn_gb,16,59.0
3.0,rnn_gb,17,59.0
3.0,rnn_gb,18,59.0
3.0,rnn_gb,19,57.0
3.0,rnn_sb,10,58.0
3.0,rnn_sb,11,56.0
3.0,rnn_sb,12,54.0
3.0,rnn_sb,13,57.0
3.0,rnn_sb,14,56.0
3.0,rnn_sb,15,54.0
3.0,rnn_sb,16,55.0
3.0,rnn_sb,17,53.0
3.0,rnn_sb,18,58.0
3.0,rnn_sb,19,57.0
3.2,minisat,20,64.0
3.2,minisat,21,64.0
3.2,minisat,22,64.0
3.2,minisat,23,64.0
3.2,minisat,24,64.0
3.2,minisat,25,64.0
3.2,minisat,26,64.0
